Year,Month,Day,Weekday,Temperature,Precipitation,Brooklyn,Manhattan,Williamsburg,Queensboro,Total
2016,Apr,1,Friday,22.2,0.25,1704,3126,4115,2552,11497
2016,Apr,2,Saturday,11.1,3.81,827,1646,2565,1884,6922
2016,Apr,3,Sunday,2.8,2.29,526,1232,1695,1306,4759
2016,Apr,4,Monday,3.7,1.27,521,1067,1440,1307,4335
2016,Apr,5,Tuesday,1.2,0.0,1416,2617,3081,2357,9471
2016,Apr,6,Wednesday,3.1,0.0,1885,3329,3856,2849,11919
2016,Apr,7,Thursday,12.8,2.29,1276,2581,3282,2457,9596
2016,Apr,8,Friday,7.5,0.25,1982,3455,4113,3194,12744
2016,Apr,9,Saturday,4.7,2.29,504,997,1507,1502,4510
2016,Apr,10,Sunday,4.4,0.0,1447,2387,3132,2160,9126
2016,Apr,11,Monday,12.2,0.25,2005,3791,4334,3182,13312
2016,Apr,12,Tuesday,10.6,5.08,1045,2178,2762,2082,8067
2016,Apr,13,Wednesday,9.1,0.0,2840,5395,5995,4192,18422
2016,Apr,14,Thursday,11.9,0.0,2861,5309,6030,4115,18315
2016,Apr,15,Friday,12.2,0.0,2770,5072,5816,3912,17570
2016,Apr,16,Saturday,13.1,0.0,2384,4316,5624,4051,16375
2016,Apr,17,Sunday,15.5,0.0,3147,4969,5867,4197,18180
2016,Apr,18,Monday,19.2,0.0,3871,6823,7432,4964,23090
2016,Apr,19,Tuesday,19.5,0.0,3501,6951,7834,5032,23318
2016,Apr,20,Wednesday,15.0,0.0,3450,6574,7639,4928,22591
2016,Apr,21,Thursday,15.9,0.0,3436,6452,7426,4813,22127
2016,Apr,22,Friday,21.4,0.0,2975,4907,6093,3862,17837
2016,Apr,23,Saturday,18.6,4.06,2055,3276,4856,3239,13426
2016,Apr,24,Sunday,14.4,0.0,2798,4650,5335,3957,16740
2016,Apr,25,Monday,15.8,0.0,3463,5978,6845,4564,20850
2016,Apr,26,Tuesday,11.9,6.1,1997,3520,4559,2929,13005
2016,Apr,27,Wednesday,12.5,0.0,3343,5606,6577,4388,19914
2016,Apr,28,Thursday,11.6,0.0,2486,4152,5336,3657,15631
2016,Apr,29,Friday,11.1,1.27,2375,4178,5053,3348,14954
2016,Apr,30,Saturday,13.3,0.0,3199,4952,5675,3606,17432
2016,May,1,Sunday,8.6,4.06,2634,1525,2062,1408,7629
2016,May,2,Monday,11.4,1.02,2505,4149,4864,3575,15093
2016,May,3,Tuesday,11.4,15.49,1059,1986,2614,1741,7400
2016,May,4,Wednesday,10.0,0.25,1710,2905,3797,2693,11105
2016,May,5,Thursday,11.1,0.0,2582,4196,4971,3619,15368
2016,May,6,Friday,10.3,13.72,652,1453,2122,1612,5839
2016,May,7,Saturday,11.9,0.0,1867,3157,3789,2749,11562
2016,May,8,Sunday,14.1,4.06,1916,2927,3948,2463,11254
2016,May,9,Monday,17.5,0.0,3650,6591,7386,4951,22578
2016,May,10,Tuesday,13.7,0.0,3384,6283,7335,4796,21798
2016,May,11,Wednesday,17.5,0.0,3883,7216,8231,5327,24657
2016,May,12,Thursday,20.2,0.0,3960,7103,8333,5735,25131
2016,May,13,Friday,16.9,6.35,1780,3072,4229,3121,12202
2016,May,14,Saturday,19.0,0.0,2556,4042,5479,3951,16028
2016,May,15,Sunday,12.0,0.0,1738,2971,3486,2696,10891
2016,May,16,Monday,13.5,0.0,2907,5254,5961,4016,18138
2016,May,17,Tuesday,15.5,0.0,2812,5230,6219,4344,18605
2016,May,18,Wednesday,16.0,0.0,3309,5812,6739,4603,20463
2016,May,19,Thursday,17.8,0.0,3474,6214,7485,4763,21936
2016,May,20,Friday,18.3,0.0,3976,6994,7776,5221,23967
2016,May,21,Saturday,15.8,1.02,1665,2864,3978,2928,11435
2016,May,22,Sunday,16.2,2.29,2117,3729,4633,2956,13435
2016,May,23,Monday,19.7,0.51,3928,6843,7769,5135,23675
2016,May,24,Tuesday,18.9,4.57,1482,3019,4260,2392,11153
2016,May,25,Wednesday,24.2,0.0,4244,7869,8959,5906,26978
2016,May,26,Thursday,26.7,0.0,3887,7037,8231,5451,24606
2016,May,27,Friday,26.9,0.0,3302,5670,7054,4592,20618
2016,May,28,Saturday,27.2,0.0,2664,3998,5327,3895,15884
2016,May,29,Sunday,26.4,0.0,3193,4154,4918,3635,15900
2016,May,30,Monday,23.1,41.91,1719,2750,3759,2689,10917
2016,May,31,Tuesday,25.8,0.0,3948,7016,7957,5556,24477
2016,Jun,1,Wednesday,24.7,0.0,4126,7565,9028,5823,26542
2016,Jun,2,Thursday,20.8,0.0,4161,7229,8764,5833,25987
2016,Jun,3,Friday,19.4,1.02,1864,3708,4961,3189,13722
2016,Jun,4,Saturday,23.8,10.16,3134,4840,6051,4193,18218
2016,Jun,5,Sunday,19.7,23.11,918,1593,2473,1805,6789
2016,Jun,6,Monday,23.6,0.0,4280,7542,8489,5654,25965
2016,Jun,7,Tuesday,25.3,0.0,3956,7319,8527,5447,25249
2016,Jun,8,Wednesday,15.0,11.43,2630,5266,6325,4094,18315
2016,Jun,9,Thursday,17.0,0.0,3733,6933,7913,5017,23596
2016,Jun,10,Friday,19.1,0.0,3932,6697,8077,5079,23785
2016,Jun,11,Saturday,23.9,0.0,2507,4086,5632,3661,15886
2016,Jun,12,Sunday,23.6,0.0,2684,4475,5513,3855,16527
2016,Jun,13,Monday,18.8,0.0,3696,6952,7913,5108,23669
2016,Jun,14,Tuesday,20.6,0.0,4075,7751,8942,5600,26368
2016,Jun,15,Wednesday,23.6,0.0,3966,7559,9037,5840,26402
2016,Jun,16,Thursday,20.6,5.59,3373,5196,6184,3633,18386
2016,Jun,17,Friday,21.6,0.0,5354,6589,8106,5179,25228
2016,Jun,18,Saturday,23.9,0.0,4804,5077,6344,4309,20534
2016,Jun,19,Sunday,25.3,0.0,4135,4622,5339,4000,18096
2016,Jun,20,Monday,23.6,0.0,4057,7049,8297,5334,24737
2016,Jun,21,Tuesday,26.1,0.0,3773,6851,9008,4969,24601
2016,Jun,22,Wednesday,24.7,0.0,4428,7495,8788,5680,26391
2016,Jun,23,Thursday,23.9,0.0,3580,6204,7660,5066,22510
2016,Jun,24,Friday,24.7,0.0,4283,6660,7925,5572,24440
2016,Jun,25,Saturday,24.4,0.0,3577,4835,6441,4618,19471
2016,Jun,26,Sunday,25.3,0.0,2895,4767,5834,4050,17546
2016,Jun,27,Monday,24.4,11.43,3985,6571,7557,5315,23428
2016,Jun,28,Tuesday,22.2,3.05,3004,4813,6400,4410,18627
2016,Jun,29,Wednesday,23.9,0.25,4066,7142,8594,5994,25796
2016,Jun,30,Thursday,24.4,0.0,3413,7046,8374,5907,24740
2016,Jul,1,Friday,23.4,21.08,2399,4084,5356,4254,16093
2016,Jul,2,Saturday,21.1,0.0,2710,4017,5270,3973,15970
2016,Jul,3,Sunday,22.2,0.0,2892,3699,4804,3388,14783
2016,Jul,4,Monday,24.1,12.45,2066,3274,3666,2998,12004
2016,Jul,5,Tuesday,25.9,16.76,2993,4827,6156,4310,18286
2016,Jul,6,Wednesday,28.9,0.0,3942,6608,8135,5807,24492
2016,Jul,7,Thursday,28.4,1.02,3340,5295,7049,5118,20802
2016,Jul,8,Friday,25.8,2.03,3026,4927,6289,4740,18982
2016,Jul,9,Saturday,20.6,13.46,2242,3465,5167,3478,14352
2016,Jul,10,Sunday,22.8,0.0,3493,4736,5495,3938,17662
2016,Jul,11,Monday,22.8,0.0,4214,7230,8601,5880,25925
2016,Jul,12,Tuesday,24.5,0.0,5152,7745,9148,6392,28437
2016,Jul,13,Wednesday,25.5,0.0,5885,6926,8564,6204,27579
2016,Jul,14,Thursday,27.2,15.75,8264,5641,7010,5084,25999
2016,Jul,15,Friday,28.7,0.0,6834,5236,6844,5347,24261
2016,Jul,16,Saturday,28.4,0.0,5293,3663,4878,4010,17844
2016,Jul,17,Sunday,28.1,0.0,4597,4460,4993,4067,18117
2016,Jul,18,Monday,28.0,8.89,5464,5089,6580,4895,22028
2016,Jul,19,Tuesday,25.8,0.0,4125,6965,8548,6217,25855
2016,Jul,20,Wednesday,24.7,0.0,4140,7315,8751,6382,26588
2016,Jul,21,Thursday,27.0,0.0,4057,6887,8284,6056,25284
2016,Jul,22,Friday,29.1,0.0,3218,5178,6865,5115,20376
2016,Jul,23,Saturday,31.4,0.0,2580,3315,4764,3881,14540
2016,Jul,24,Sunday,29.4,0.0,2948,3615,4517,3495,14575
2016,Jul,25,Monday,28.6,25.4,2670,3707,4975,3971,15323
2016,Jul,26,Tuesday,27.0,0.0,3668,6187,7520,5606,22981
2016,Jul,27,Wednesday,28.6,0.0,3724,6610,8015,5878,24227
2016,Jul,28,Thursday,30.3,0.0,3496,5817,7271,5404,21988
2016,Jul,29,Friday,24.4,27.69,1916,3176,4685,3413,13190
2016,Jul,30,Saturday,25.5,6.35,1944,3016,4062,3529,12551
